Gene ID,log2FC,p-value,Significant
INF2,-1.474994292,1.53E-21,Yes
GMPR,2.904944354,1.50E-14,Yes
FKBP5,2.600742974,1.59E-14,Yes
TMEM179,-1.262554833,4.47E-14,Yes
HLA-DPB1,1.258482975,7.32E-13,Yes
DGCR5,-1.10563241,1.07E-12,Yes
SERPINA3,6.737179955,1.55E-12,Yes
AGRN,-1.029297199,1.88E-12,Yes
ARL4D,-0.959935579,1.89E-12,Yes
NUDT14,-0.71125765,6.94E-12,Yes
DUSP6,-1.421130176,1.47E-11,Yes
NECTIN1,-1.341100504,7.67E-11,Yes
FRMPD2,-2.081276749,2.59E-10,Yes
PI16,2.158258174,4.25E-10,Yes
LYNX1,-0.682793389,5.21E-10,Yes
ADGRA1,-0.84839585,5.53E-10,Yes
SPON2,-2.735270236,6.12E-10,Yes
FAM78A,-0.97747897,7.01E-10,Yes
NONO,0.358931979,7.76E-10,Yes
CD44,2.684471363,8.05E-10,Yes
PDLIM4,1.592278367,8.85E-10,Yes
FMNL1,-0.994168235,9.61E-10,Yes
KCNIP3,-1.132446646,9.66E-10,Yes
VIM-AS1,1.922573557,2.07E-09,Yes
CNBP,0.536038573,2.97E-09,Yes
ARHGEF2,-0.797722633,3.10E-09,Yes
EGR1,-1.311432469,3.83E-09,Yes
ITGB4,2.864847316,4.05E-09,Yes
ADRA1D,-1.942121419,4.53E-09,Yes
KLK5,-1.528601895,5.43E-09,Yes
LOC105372871,-1.852666055,6.79E-09,Yes
AP3S1,-0.418275432,6.89E-09,Yes
FRMPD2B,-2.481092699,7.27E-09,Yes
SPATA9,1.446549676,7.53E-09,Yes
NUP43,0.513577081,7.65E-09,Yes
ANKRD24,-0.90708498,9.33E-09,Yes
TNFAIP8L1,-0.802661453,9.71E-09,Yes
RPH3A,-1.508210515,1.19E-08,Yes
VIM,1.811265602,1.20E-08,Yes
HACD4,1.150370986,1.33E-08,Yes
LOC729683,-0.889277066,1.57E-08,Yes
FABP3,-0.835672426,1.68E-08,Yes
HES4,-1.17467749,1.80E-08,Yes
KAZALD1,-1.971469198,1.85E-08,Yes
CA4,-0.985772017,2.26E-08,Yes
EIF3L,0.551453345,2.59E-08,Yes
LOC105376360,-2.603253199,2.66E-08,Yes
PLXNA1,-1.198720512,2.93E-08,Yes
PCBP2,0.50072871,3.55E-08,Yes
SLC11A1,3.20670062,3.77E-08,Yes
FAM221A,0.63157275,4.08E-08,Yes
OTOS,2.445394845,4.14E-08,Yes
RAB26,-0.84382106,4.34E-08,Yes
FZD7,1.697068597,4.74E-08,Yes
S100A9,3.489507553,4.83E-08,Yes
C4B,2.718180245,5.16E-08,Yes
EIF3E,0.757479075,5.50E-08,Yes
C4A,2.730105613,5.81E-08,Yes
GLIS3,1.42629474,5.87E-08,Yes
PDZD7,-0.801786638,6.76E-08,Yes
SERPING1,1.246625896,7.16E-08,Yes
TRIM4,0.938483639,7.22E-08,Yes
RPL5,0.730009545,7.44E-08,Yes
BCL11A,-0.435299852,7.46E-08,Yes
TNFRSF11B,2.593939362,7.48E-08,Yes
FAM200B,0.448562226,8.76E-08,Yes
CORO2B,-0.655924666,9.14E-08,Yes
LINGO3,-1.177402197,9.14E-08,Yes
RACGAP1,-0.538604485,9.33E-08,Yes
ADAM19,-1.500024681,9.54E-08,Yes
TGFB2,1.166296485,9.58E-08,Yes
C4orf50,-1.456215167,9.65E-08,Yes
FBXO9,-1.454888411,1.01E-07,Yes
S100A8,3.780003329,1.01E-07,Yes
PLXND1,-0.605851148,1.03E-07,Yes
SMAD1,0.558002145,1.04E-07,Yes
LONRF3,0.917364354,1.06E-07,Yes
GPR78,-2.293800385,1.08E-07,Yes
CXCL5,1.94604394,1.21E-07,Yes
PYGL,1.509141148,1.27E-07,Yes
CELF5,-0.642102194,1.32E-07,Yes
ABCC10,-0.938985326,1.34E-07,Yes
SPATA2L,-1.035185984,1.37E-07,Yes
CP,1.246002038,1.66E-07,Yes
LOC105369194,1.463310579,1.72E-07,Yes
HR,-1.34716928,1.89E-07,Yes
SERPINA1,3.246661091,2.05E-07,Yes
NETO2,-1.208706768,2.28E-07,Yes
SPEF1,-1.308062654,2.29E-07,Yes
SHISA6,1.650140827,2.70E-07,Yes
RIMS1,-1.062782456,2.78E-07,Yes
SUMF2,-0.406757362,2.81E-07,Yes
ETV5,-0.719349579,3.12E-07,Yes
COL24A1,-1.477770523,3.24E-07,Yes
TMPRSS3,2.539879589,3.34E-07,Yes
CALHM1,-1.934481287,3.64E-07,Yes
AHNAK,1.506633099,3.76E-07,Yes
CACNA1S,-2.360179127,3.81E-07,Yes
C2CD4C,-0.797305502,4.36E-07,Yes
ANG,1.482727017,4.54E-07,Yes
VCAM1,2.641696657,4.66E-07,Yes
RAB15,-0.914004789,4.85E-07,Yes
CA12,2.622362495,5.12E-07,Yes
ZSCAN1,-0.706351235,5.43E-07,Yes
PLA1A,2.296801692,5.71E-07,Yes
VSIG4,3.150374836,5.74E-07,Yes
RASSF5,-0.961174627,5.91E-07,Yes
C10orf105,2.779207953,6.18E-07,Yes
RNASE4,1.41965003,6.33E-07,Yes
CFI,1.515032294,6.59E-07,Yes
LPIN3,1.243290324,6.72E-07,Yes
RASSF8,0.834804231,6.80E-07,Yes
DLEU1,1.337287408,7.66E-07,Yes
CACNA1G-AS1,-1.7270785,7.90E-07,Yes
LOC105377190,-1.502455268,8.05E-07,Yes
SYNDIG1,-0.625817609,8.15E-07,Yes
KLF13,-0.514811365,8.34E-07,Yes
MDM1,0.487440339,8.92E-07,Yes
